date,warehouse_id,sku,quantity_on_hand
2024-01-01,Perth WH,SKU-0026,111
2024-01-01,WH02,SKU-0073,1189
2024-01-01,kewdale wh,SKU-0064,3335
2024-01-01,Fremantle WH,SKU-0042,4155
2024-01-01,perth wh,SKU-0019,2101
2024-01-01,kewdale wh,SKU-0081,3899
2024-01-01,fremantle wh,SKU-0031,4666
2024-01-01,WH01,SKU-0026,2227
2024-01-02,Fremantle WH,SKU-0030,1902
2024-01-02,perth wh,SKU-0036,206
2024-01-02,Fremantle WH,SKU-0059,1752
2024-01-02,Fremantle WH,SKU-0010,2161
2024-01-02,kewdale wh,SKU-0072,3074
2024-01-02,Perth WH,SKU-0019,1605
2024-01-02,Fremantle WH,SKU-0094,4552
2024-01-02,perth wh,SKU-0029,2868
2024-01-03,kewdale wh,SKU-0072,4807
2024-01-03,WH01,SKU-0058,1018
2024-01-03,WH01,SKU-0079,288
2024-01-03,WH03,SKU-0052,2205
2024-01-03,WH01,SKU-0022,356
2024-01-03,kewdale wh,SKU-0058,2659
2024-01-03,WH02,SKU-0046,4696
2024-01-03,Kewdale WH,SKU-0009,1352
2024-01-04,kewdale wh,SKU-0084,4856
2024-01-04,Kewdale WH,SKU-0058,4053
2024-01-04,WH02,SKU-0071,1757
2024-01-04,WH02,SKU-0062,3005
2024-01-04,WH02,SKU-0079,726
2024-01-04,fremantle wh,SKU-0089,3750
2024-01-04,perth wh,SKU-0100,4579
2024-01-04,fremantle wh,SKU-0073,1556
2024-01-05,kewdale wh,SKU-0020,4744
2024-01-05,Fremantle WH,SKU-0036,285
2024-01-05,kewdale wh,SKU-0098,2805
2024-01-05,fremantle wh,SKU-0066,4662
2024-01-05,WH01,SKU-0009,3599
2024-01-05,perth wh,SKU-0061,4606
2024-01-05,fremantle wh,SKU-0050,2061
2024-01-05,Fremantle WH,SKU-0085,2162
2024-01-06,perth wh,SKU-0034,4281
2024-01-06,Fremantle WH,SKU-0094,3169
2024-01-06,Fremantle WH,SKU-0011,2917
2024-01-06,kewdale wh,SKU-0031,4681
2024-01-06,WH02,SKU-0096,463
2024-01-06,WH01,SKU-0097,1444
2024-01-06,kewdale wh,SKU-0039,402
2024-01-06,WH02,SKU-0086,4655
2024-01-07,WH01,SKU-0029,3892
2024-01-07,perth wh,SKU-0036,2976
2024-01-07,perth wh,SKU-0090,2995
