shipment_id,warehouse_id,customer_id,scheduled_date,actual_delivery,delay_flag,delay_hours
SHP-001375,Kewdale WH,CUST-00016,2024-10-08,2024-10-08 12:00,FALSE,0.0
SHP-000809,WH02,CUST-00058,2023-05-09,2023-05-09 02:00,FALSE,0.0
SHP-004843,fremantle wh,CUST-00107,2024-04-23,2024-04-23 19:00,false,0.0
SHP-000024,,CUST-00144,2023-03-10,2023-03-10 03:00,N,0.0
SHP-000756,WH01,CUST-00071,2024-01-13,2024-01-13 05:00,No,0.0
SHP-003327,Kewdale WH,CUST-00200,2024-12-25,2024-12-25 07:00,1,7.9
SHP-003816,fremantle wh,CUST-00008,2023-10-14,2023-10-14 00:00,FALSE,0.0
SHP-003091,WH03,CUST-00052,2024-02-29,2024-02-29 00:00,0,0.0
SHP-002100,WH02,CUST-00019,2023-11-25,2023-11-25 06:00,No,0.0
SHP-003796,Kewdale WH,CUST-00064,2023-08-01,2023-08-01 09:00,N,0.0
SHP-001245,,CUST-00132,2023-09-12,2023-09-12 15:00,No,0.0
SHP-001096,,CUST-00009,2024-03-11,2024-03-11 18:00,N,0.0
SHP-004862,fremantle wh,CUST-00156,2023-12-01,2023-12-01 09:00,FALSE,0.0
SHP-PEAK-00428,Kewdale WH,CUST-00189,2023-11-12,2023-11-12 17:00,false,0.0
SHP-004764,WH01,CUST-00100,2023-03-20,2023-03-20 01:00,Yes,1.4
SHP-004100,perth wh,CUST-00042,2023-11-14,2023-11-14 07:00,N,0.0
SHP-001243,kewdale wh,CUST-00093,2024-04-08,2024-04-09 04:00,Y,28.9
SHP-000765,,CUST-00030,2023-05-26,2023-05-27 08:00,1,32.4
SHP-002848,Perth WH,CUST-00080,2024-10-24,2024-10-24 14:00,0,0.0
SHP-001104,,CUST-00197,2023-06-22,2023-06-22 01:00,0,0.0
SHP-002288,WH01,CUST-00146,2024-02-07,2024-02-07 09:00,false,0.0
SHP-000882,,CUST-00167,2024-04-27,2024-04-28 08:00,true,32.6
SHP-004986,kewdale wh,CUST-00026,2023-01-02,2023-01-02 10:00,No,0.0
SHP-PEAK-00164,WH02,CUST-00059,2024-11-23,2024-11-23 00:00,No,0.0
